Technology,Gas Consumption (MWh/yr)
Boiler 1,1044.918661
Boiler 2,1049.692812
Boiler 3,1875.861742
Boiler 4,2212.668548
Boiler 5,2226.1
Boiler 6,2226.1
Boiler 7,2226.1
Boiler 8,2226.1
Boiler 9,2226.1
Boiler 10,2226.1
Boiler 11,2226.1
Boiler 12,2226.1
Boiler 13,2226.1
Boiler 14,2226.1
Boiler 15,2226.1
Boiler 16,2226.1
Boiler 17,2226.1
Boiler 18,2226.1
Boiler 19,2226.1
Boiler 20,2226.1
Boiler 21,2226.1
Boiler 22,2226.1
Boiler 23,2226.1
Boiler 24,2226.1
Boiler 25,2226.1
Boiler 26,2226.1
Boiler 27,2226.1
Boiler 28,2226.1
Boiler 29,2226.1
Boiler 30,2226.1
Boiler 31,2226.1
Boiler 32,2226.1
Boiler 33,2226.1
Boiler 34,2226.1
Boiler 35,2226.1
Boiler 36,2226.1
Boiler 37,2226.1
Boiler 38,2226.1
Boiler 39,2226.1
Boiler 40,2226.1
Boiler 41,2226.1
Boiler 42,2226.1
Boiler 43,2226.1
Boiler 44,2226.1
Boiler 45,2226.1
Boiler 46,2226.1
Boiler 47,2226.1
Boiler 48,2226.1
Boiler 49,2226.1
Boiler 50,2226.1
Boiler 51,2226.1
Boiler 52,2226.1
Boiler 53,2226.1
Boiler 54,2226.1
Boiler 55,2226.1
Boiler 56,2226.1
Boiler 57,2226.1
Boiler 58,2226.1
Boiler 59,2226.1
Boiler 60,2226.1
Boiler 61,2226.1
Boiler 62,2226.1
Boiler 63,2226.1
Boiler 64,2226.1
Boiler 65,2226.1
Boiler 66,2226.1
Boiler 67,2226.1
Boiler 68,2226.1
Boiler 69,2226.1
Boiler 70,2226.1
Boiler 71,2226.1
Boiler 72,2226.1
Boiler 73,2226.1
Boiler 74,2226.1
Boiler 75,2226.1
Boiler 76,2226.1
Boiler 77,2226.1
Boiler 78,2226.1
Boiler 79,2226.1
Boiler 80,2226.1
Boiler 81,2226.1
Boiler 82,2226.1
Boiler 83,2226.1
Boiler 84,2226.1
Boiler 85,2226.1
Boiler 86,2226.1
Boiler 87,2226.1
Boiler 88,2226.1
Boiler 89,2226.1
Boiler 90,2226.1
Boiler 91,2226.1
Boiler 92,2226.1
Boiler 93,2226.1
Boiler 94,2226.1
Boiler 95,2226.1
Boiler 96,2226.1
Boiler 97,2226.1
Boiler 98,2226.1
Boiler 99,2226.1
Boiler 100,2226.1
Boiler 101,2226.1
Boiler 102,2226.1
Boiler 103,2226.1
Boiler 104,2226.1
Boiler 105,2226.1
Boiler 106,2226.1
